Abb,NAME,COMPOSITION,COMPARTMENT,REPLACEMENT ID,CHARGE
(-)-trans-carveol[c],(-)-trans-carveol,C10H16O,c,m00001c,0
(-)-trans-carveol[s],(-)-trans-carveol,C10H16O,s,m00001s,0
(+)-alpha-pinene[c],(+)-alpha-pinene,C10H16,c,m00002c,0
(+)-alpha-pinene[s],(+)-alpha-pinene,C10H16,s,m00002s,0
(10Z)-heptadecenoic acid[c],(10Z)-heptadecenoic acid,C17H31O2,c,m00003c,-1
(10Z)-heptadecenoic acid[l],(10Z)-heptadecenoic acid,C17H31O2,l,m00003l,-1
(10Z)-heptadecenoic acid[r],(10Z)-heptadecenoic acid,C17H31O2,r,m00003r,-1
(10Z)-heptadecenoic acid[s],(10Z)-heptadecenoic acid,C17H31O2,s,m00003s,-1
(10Z)-heptadecenoyl-CoA[c],(10Z)-heptadecenoyl-CoA,C38H62N7O17P3S,c,m00004c,-4
(10Z)-heptadecenoyl-CoA[m],(10Z)-heptadecenoyl-CoA,C38H62N7O17P3S,m,m00004m,-4
(10Z)-heptadecenoyl-CoA[r],(10Z)-heptadecenoyl-CoA,C38H62N7O17P3S,r,m00004r,-4
(11R)-HPETE[c],(11R)-HPETE,C20H31O4,c,m00005c,-1
(11Z)-docosenoyl-CoA[c],(11Z)-docosenoyl-CoA,C43H72N7O17P3S,c,m00006c,-4
(11Z)-docosenoyl-CoA[m],(11Z)-docosenoyl-CoA,C43H72N7O17P3S,m,m00006m,-4
(11Z)-docosenoyl-CoA[r],(11Z)-docosenoyl-CoA,C43H72N7O17P3S,r,m00006r,-4
(11Z)-eicosenoyl-CoA[c],(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,c,m00007c,-4
(11Z)-eicosenoyl-CoA[m],(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,m,m00007m,-4
(11Z)-eicosenoyl-CoA[p],(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,p,m00007p,-4
(11Z)-eicosenoyl-CoA[r],(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,r,m00007r,-4
(11Z;14Z)-eicosadienoic acid[c],"(11Z,14Z)-eicosadienoic acid",C20H35O2,c,m00008c,-1
(11Z;14Z)-eicosadienoic acid[l],"(11Z,14Z)-eicosadienoic acid",C20H35O2,l,m00008l,-1
(11Z;14Z)-eicosadienoic acid[r],"(11Z,14Z)-eicosadienoic acid",C20H35O2,r,m00008r,-1
(11Z;14Z)-eicosadienoic acid[s],"(11Z,14Z)-eicosadienoic acid",C20H35O2,s,m00008s,-1
(11Z;14Z)-eicosadienoyl-CoA[c],"(11Z,14Z)-eicosadienoyl-CoA",C41H66N7O17P3S,c,m00009c,-4
(11Z;14Z)-eicosadienoyl-CoA[m],"(11Z,14Z)-eicosadienoyl-CoA",C41H66N7O17P3S,m,m00009m,-4
(11Z;14Z)-eicosadienoyl-CoA[r],"(11Z,14Z)-eicosadienoyl-CoA",C41H66N7O17P3S,r,m00009r,-4
(11Z;14Z;17Z)-eicosatrienoic acid[c],"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,c,m00010c,-1
(11Z;14Z;17Z)-eicosatrienoic acid[l],"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,l,m00010l,-1
(11Z;14Z;17Z)-eicosatrienoic acid[r],"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,r,m00010r,-1
(11Z;14Z;17Z)-eicosatrienoic acid[s],"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,s,m00010s,-1
(11Z;14Z;17Z)-eicosatrienoylcarnitine[c],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,c,m00011c,0
(11Z;14Z;17Z)-eicosatrienoylcarnitine[m],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,m,m00011m,0
